index;name;serving_size;calories;total_fat;protein;carbohydrate;sugars;food_item;food_detail;detail1;food_key
6354;Cereals ready-to-eat, Reduced Sugar Frosted Flakes Cereal, KELLOGG'S;100;357;0.4;5.59;87.30;23.89;Cereals ready-to-eat; KELLOGG'S; Reduced Sugar Frosted Flakes Cereal;Cereals ready-to-eat Reduced Sugar Frosted Flakes Cereal
6355;Cereals ready-to-eat, KELLOGG'S RICE KRISPIES TREATS Cereal, KELLOGG;100;395;4.2;4.30;85.59;29.60;Cereals ready-to-eat; KELLOGG; KELLOGG'S RICE KRISPIES TREATS Cereal;Cereals ready-to-eat KELLOGG'S RICE KRISPIES TREATS Cereal
6356;Pork, roasted, canned, extra lean (approximately 4% fat), ham, cured;100;136;4.9;21.16;0.52;0;Pork; canned, extra lean (approximately 4% fat), ham, cured; roasted;Pork roasted
6357;Pork, roasted, regular (approximately 11% fat), boneless, ham, cured;100;178;9;22.62;0.00;0.00;Pork; regular (approximately 11% fat), boneless, ham, cured; roasted;Pork roasted
6358;Beef, pan-browned, cooked, crumbles, 70% lean meat / 30% fat, ground;100;270;18;25.56;0.00;0.00;Beef; cooked, crumbles, 70% lean meat / 30% fat, ground; pan-browned;Beef pan-browned
6359;MORNINGSTAR FARMS Roasted Garlic & Quinoa Burger, unprepared, frozen;100;192;12;10.70;17.80;2.10;MORNINGSTAR FARMS Roasted Garlic & Quinoa Burger; frozen; unprepared;MORNINGSTAR FARMS Roasted Garlic & Quinoa Burger unprepared
6360;KELLOGG'S, Mixed Berry Granola, NUTRI-GRAIN Frozen Fruit Pizza, EGGO;100;259;8.4;6.40;41.40;11.50;KELLOGG'S; NUTRI-GRAIN Frozen Fruit Pizza, EGGO; Mixed Berry Granola;KELLOGG'S Mixed Berry Granola
6361;Beef, pan-browned, cooked, crumbles, 75% lean meat / 25% fat, ground;100;277;18;26.28;0.00;0.00;Beef; cooked, crumbles, 75% lean meat / 25% fat, ground; pan-browned;Beef pan-browned
6362;CAMPBELL'S CHUNKY Soups, Baked Potato with Cheddar & Bacon Bits Soup;100;78;3.7;2.04;9.39;1.25;CAMPBELL'S CHUNKY Soups;; Baked Potato with Cheddar & Bacon Bits Soup;CAMPBELL'S CHUNKY Soups Baked Potato with Cheddar & Bacon Bits Soup
6363;Lamb, raw, separable lean and fat, neck chops, imported, New Zealand;100;231;18;17.43;0.14;0.00;Lamb; separable lean and fat, neck chops, imported, New Zealand; raw;Lamb raw
6364;Cereals ready-to-eat, RAISIN BRAN CLUSTERS, FIBER ONE, GENERAL MILLS;100;317;2.3;6.30;83.40;25.60;Cereals ready-to-eat; FIBER ONE, GENERAL MILLS; RAISIN BRAN CLUSTERS;Cereals ready-to-eat RAISIN BRAN CLUSTERS
6365;Snacks, and E, C, with vitamins A, FARLEY Fruit Snacks, FARLEY CANDY;100;341;0;4.40;80.90;0;Snacks; C, with vitamins A, FARLEY Fruit Snacks, FARLEY CANDY; and E;Snacks and E
6366;POPEYES, meat and skin with breading, Drumstick, Mild, Fried Chicken;100;293;19;20.44;9.84;0;POPEYES; Drumstick, Mild, Fried Chicken; meat and skin with breading;POPEYES meat and skin with breading
6367;Gourd, with salt, drained, boiled, cooked, white-flowered (calabash);100;13;0;0.60;3.10;0;Gourd; drained, boiled, cooked, white-flowered (calabash); with salt;Gourd with salt
6368;BANQUET, unprepared, frozen, family size, Salisbury Steak With Gravy;100;155;11;6.89;6.96;0.28;BANQUET; frozen, family size, Salisbury Steak With Gravy; unprepared;BANQUET unprepared
6369;Lamb, raw, separable lean and fat, hind-shank, imported, New Zealand;100;186;12;18.39;0.73;0.00;Lamb; separable lean and fat, hind-shank, imported, New Zealand; raw;Lamb raw
6370;Margarine-like, without salt, stick, 80% fat, butter-margarine blend;100;718;81;0.90;0.60;0.00;Margarine-like; stick, 80% fat, butter-margarine blend; without salt;Margarine-like without salt
